index,entropy,std,size,compressed_size,compression_ratio
0-0,0.05,0.2888,11,2302,65.4
0-1,0.05,0.2888,11,2280,66.0
0-2,0.05,0.2888,11,2302,65.4
0-3,0.05,0.2888,11,2381,63.22
0-4,0.05,0.2888,11,2280,66.0
1-0,0.051,0.2893,11,2428,62.0
1-1,0.051,0.2893,11,2472,60.9
1-2,0.051,0.2893,11,2364,63.7
1-3,0.051,0.2893,11,2465,61.06
1-4,0.051,0.2893,11,2329,64.6
2-0,0.052,0.2898,11,2360,63.78
2-1,0.052,0.2898,11,2435,61.8
2-2,0.052,0.2898,11,2441,61.66
2-3,0.052,0.2898,11,2415,62.34
2-4,0.052,0.2898,11,2294,65.6
3-0,0.053,0.2905,11,2463,61.12
3-1,0.053,0.2905,11,2515,59.84
3-2,0.053,0.2905,11,2437,61.78
3-3,0.053,0.2905,11,2534,59.4
3-4,0.053,0.2905,11,2530,59.5
4-0,0.054,0.291,11,2469,60.97
4-1,0.054,0.291,11,2435,61.8
4-2,0.054,0.291,11,2559,58.8
4-3,0.054,0.291,11,2498,60.25
4-4,0.054,0.291,11,2398,62.78
5-0,0.055,0.2915,11,2468,61.0
5-1,0.055,0.2915,11,2557,58.88
5-2,0.055,0.2915,11,2528,59.53
5-3,0.055,0.2915,11,2447,61.5
5-4,0.055,0.2915,11,2562,58.75
6-0,0.056,0.292,11,2429,61.97
6-1,0.056,0.292,11,2633,57.16
6-2,0.056,0.292,11,2531,59.47
6-3,0.056,0.292,11,2627,57.3
6-4,0.056,0.292,11,2538,59.3
7-0,0.057,0.2925,11,2646,56.88
7-1,0.057,0.2925,11,2502,60.16
7-2,0.057,0.2925,11,2584,58.25
7-3,0.057,0.2925,11,2635,57.12
7-4,0.057,0.2925,11,2698,55.78
8-0,0.058,0.293,11,2715,55.44
8-1,0.058,0.293,11,2599,57.9
8-2,0.058,0.293,11,2618,57.5
8-3,0.058,0.293,11,2519,59.75
8-4,0.058,0.293,11,2704,55.66
9-0,0.059,0.2935,11,2668,56.4
9-1,0.059,0.2935,11,2689,55.97
9-2,0.059,0.2935,11,2655,56.7
9-3,0.059,0.2935,11,2774,54.25
9-4,0.059,0.2935,11,2653,56.75
10-0,0.06,0.2942,11,2701,55.72
10-1,0.06,0.2942,11,2755,54.62
10-2,0.06,0.2942,11,2664,56.5
10-3,0.06,0.2942,11,2772,54.3
10-4,0.06,0.2942,11,2717,55.4
11-0,0.061,0.2947,11,2798,53.8
11-1,0.061,0.2947,11,2752,54.7
11-2,0.061,0.2947,11,2885,52.2
11-3,0.061,0.2947,11,2695,55.84
